SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Andaman & Nicobar Islands,2001-01-01,89.0,15.7,143.3,30.1,705.3,370.7,341.3,469.0,334.4,267.6,222.6,91.8,3080.9,104.7,878.7,1515.4,582.0
Andaman & Nicobar Islands,2002-01-01,10.6,0.0,11.5,100.2,366.7,358.3,317.4,429.8,420.0,169.0,306.7,129.9,2620.2,10.7,478.4,1525.6,605.5
Andaman & Nicobar Islands,2003-01-01,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48.0,2355.9,52.2,465.0,1406.1,432.5
Andaman & Nicobar Islands,2004-01-01,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.4,2460.1,90.4,583.2,1392.2,394.2
Andaman & Nicobar Islands,2005-01-01,0.0,0.0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,2954.7,0.0,376.8,1700.4,877.5
Andaman & Nicobar Islands,2006-01-01,16.3,14.4,48.9,163.7,321.4,366.0,182.7,219.6,546.5,374.7,76.1,74.4,2404.7,30.7,534.0,1314.9,525.2
Andaman & Nicobar Islands,2007-01-01,4.9,1.6,5.0,54.6,370.0,378.3,463.2,465.3,486.4,209.4,223.9,85.6,2748.0,6.5,429.6,1793.1,518.9
Andaman & Nicobar Islands,2008-01-01,9.9,67.7,115.8,216.1,545.5,457.8,511.2,482.1,332.0,243.7,321.1,72.0,3374.8,77.6,877.3,1783.1,636.8
Andaman & Nicobar Islands,2009-01-01,24.5,6.3,44.2,136.5,313.1,633.5,297.3,351.5,344.7,272.8,66.2,48.0,2538.6,30.8,493.7,1627.1,386.9
Andaman & Nicobar Islands,2010-01-01,101.7,8.0,0.7,12.5,319.0,448.9,521.9,563.8,263.3,402.4,268.5,246.4,3157.1,109.8,332.2,1797.8,917.3
Andaman & Nicobar Islands,2011-01-01,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.5,3828.0,350.7,710.7,2165.0,601.6
Andaman & Nicobar Islands,2012-01-01,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,3497.6,165.6,620.5,2014.0,697.5
Andaman & Nicobar Islands,2013-01-01,67.1,37.6,43.0,46.3,509.3,777.0,564.8,336.7,473.6,455.8,354.2,92.3,3757.8,104.7,598.6,2152.1,902.4
Andaman & Nicobar Islands,2014-01-01,41.9,8.6,0.0,11.1,238.0,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4,50.5,249.1,1618.7,704.2
Andaman & Nicobar Islands,2015-01-01,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480.0,523.3,252.1,236.3,129.9,2904.6,134.4,473.2,1678.6,618.4
Andaman & Nicobar Islands,2016-01-01,72.0,15.8,5.4,2.4,191.1,429.4,301.2,227.7,604.3,287.2,181.7,533.7,2851.9,87.8,198.9,1562.6,1002.6
Andaman & Nicobar Islands,2017-01-01,228.7,5.6,33.0,108.3,275.8,349.1,389.4,414.7,372.8,263.0,205.9,243.7,2890.0,234.2,417.1,1526.0,712.6
Arunachal Pradesh,2001-01-01,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036.0,119.7,560.5,1147.8,208.0
Arunachal Pradesh,2002-01-01,74.2,37.2,126.3,248.2,197.1,396.8,604.0,290.7,257.9,94.0,45.0,17.9,2389.2,111.4,571.6,1549.4,156.9
Arunachal Pradesh,2003-01-01,22.9,83.2,109.6,182.0,173.5,424.3,645.3,327.2,259.9,182.6,25.0,16.2,2451.8,106.1,465.2,1656.6,223.9
Arunachal Pradesh,2004-01-01,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7,77.1,684.3,1578.7,205.6
Arunachal Pradesh,2005-01-01,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400.0,243.6,139.3,28.6,3.3,2335.5,216.0,604.6,1343.7,171.2
Arunachal Pradesh,2006-01-01,6.0,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7
Arunachal Pradesh,2007-01-01,13.4,97.4,48.1,292.4,250.4,530.2,761.0,364.6,529.3,102.6,24.3,6.9,3020.7,110.8,590.9,2185.1,133.9
Arunachal Pradesh,2008-01-01,76.7,39.7,122.6,192.4,185.0,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4,116.4,499.9,1508.7,119.4
Arunachal Pradesh,2009-01-01,18.0,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9,110.8,394.7,1111.8,132.7
Arunachal Pradesh,2010-01-01,0.6,13.2,237.8,466.9,312.7,509.9,378.0,321.5,444.2,97.7,58.9,14.2,2855.7,13.9,1017.5,1653.6,170.9
Arunachal Pradesh,2011-01-01,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7,91.4,634.9,1384.2,83.3
Arunachal Pradesh,2012-01-01,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2,3440.3,93.6,724.9,2325.6,296.3
Arunachal Pradesh,2013-01-01,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6,2042.9,59.0,626.0,1165.9,192.0
Arunachal Pradesh,2014-01-01,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2,2403.2,120.9,466.0,1750.8,65.4
Arunachal Pradesh,2015-01-01,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.8,2767.5,78.3,623.5,1936.9,128.8
Arunachal Pradesh,2016-01-01,29.4,73.2,128.4,333.1,278.9,379.4,620.1,145.7,532.9,172.7,8.4,4.6,2706.9,102.6,740.4,1678.2,185.7
Arunachal Pradesh,2017-01-01,8.2,86.2,221.8,348.2,257.1,370.8,437.8,456.4,318.6,227.1,9.9,3.4,2745.3,94.4,827.0,1583.5,240.3
Assam & Meghalaya,2001-01-01,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,45.2,495.8,1413.2,224.2
Assam & Meghalaya,2002-01-01,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,25.9,650.2,1589.8,126.8
Assam & Meghalaya,2003-01-01,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,51.0,546.5,1573.3,263.4
Assam & Meghalaya,2004-01-01,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,34.8,755.9,1849.7,353.9
Assam & Meghalaya,2005-01-01,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,53.3,660.9,1525.2,228.9
Assam & Meghalaya,2006-01-01,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,41.5,515.5,1208.1,133.5
Assam & Meghalaya,2007-01-01,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,75.2,486.1,1975.1,216.4
Assam & Meghalaya,2008-01-01,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,44.2,474.4,1683.9,137.2
Assam & Meghalaya,2009-01-01,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,19.5,426.2,1473.5,149.0
Assam & Meghalaya,2010-01-01,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,3.7,882.3,1690.2,135.3
Assam & Meghalaya,2011-01-01,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,22.5,439.4,1236.0,45.6
Assam & Meghalaya,2012-01-01,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,22.1,493.7,1874.8,218.8
Assam & Meghalaya,2013-01-01,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,10.7,503.5,1172.9,129.3
Assam & Meghalaya,2014-01-01,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,30.3,431.9,1705.5,38.5
Assam & Meghalaya,2015-01-01,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14.0,15.2,2470.9,28.9,620.9,1729.3,91.8
Assam & Meghalaya,2016-01-01,18.9,15.9,64.1,327.8,334.0,369.0,498.4,185.3,271.2,136.5,38.2,7.4,2266.9,34.8,726.0,1323.9,182.1
Assam & Meghalaya,2017-01-01,1.7,37.8,116.7,310.9,268.4,485.2,429.0,483.1,345.4,212.1,10.3,11.0,2711.7,39.5,695.9,1742.7,233.5
Naga Mani Mizo Tripura,2001-01-01,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2,2149.0,48.4,436.1,1332.6,332.0
Naga Mani Mizo Tripura,2002-01-01,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0,2242.3,22.5,645.1,1397.8,176.9
Naga Mani Mizo Tripura,2003-01-01,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2,15.3,502.4,1423.4,221.1
Naga Mani Mizo Tripura,2004-01-01,4.8,2.7,11.0,341.5,211.0,449.2,558.6,284.3,351.0,132.7,6.4,0.5,2353.7,7.4,563.5,1643.2,139.6
Naga Mani Mizo Tripura,2005-01-01,6.4,15.0,118.6,98.1,237.0,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7,21.4,453.7,1141.1,220.4
Naga Mani Mizo Tripura,2006-01-01,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7,1872.0,12.9,498.8,1253.2,107.1
Naga Mani Mizo Tripura,2007-01-01,7.9,54.7,28.7,220.4,276.7,446.3,430.0,373.8,426.6,180.5,82.6,10.1,2538.2,62.6,525.8,1676.6,273.2
Naga Mani Mizo Tripura,2008-01-01,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2,1748.9,44.4,305.3,1243.0,156.1
Naga Mani Mizo Tripura,2009-01-01,0.0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2,1737.7,3.2,330.1,1219.9,184.5
Naga Mani Mizo Tripura,2010-01-01,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5,2295.2,8.9,541.4,1482.0,262.9
Naga Mani Mizo Tripura,2011-01-01,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2,1892.1,16.1,467.4,1313.4,95.2
Naga Mani Mizo Tripura,2012-01-01,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9,34.7,427.3,1267.6,193.3
Naga Mani Mizo Tripura,2013-01-01,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2,5.9,428.9,995.2,127.1
Naga Mani Mizo Tripura,2014-01-01,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9,22.2,267.5,1237.2,73.0
Naga Mani Mizo Tripura,2015-01-01,14.4,14.2,21.6,253.5,198.3,283.9,413.6,334.2,255.9,118.7,3.9,10.0,1922.4,28.7,473.4,1287.7,132.6
Naga Mani Mizo Tripura,2016-01-01,8.5,33.5,57.6,135.4,285.7,287.8,326.2,319.0,296.0,114.7,90.3,1.7,1956.4,42.0,478.7,1229.0,206.7
Naga Mani Mizo Tripura,2017-01-01,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1,2805.4,12.7,599.7,1829.8,363.3
Sub Himalayan West Bengal & Sikkim,2001-01-01,4.0,20.5,50.2,134.8,347.2,472.2,399.0,424.5,434.9,282.8,36.6,5.9,2612.6,24.5,532.2,1730.5,325.4
Sub Himalayan West Bengal & Sikkim,2002-01-01,30.1,10.0,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.8,2547.0,40.1,514.4,1897.2,95.2
Sub Himalayan West Bengal & Sikkim,2003-01-01,17.0,79.2,90.1,171.4,211.7,516.6,703.0,354.0,321.4,223.0,16.4,19.2,2723.3,96.3,473.3,1895.1,258.7
Sub Himalayan West Bengal & Sikkim,2004-01-01,19.9,11.5,40.5,163.5,287.5,489.5,739.5,356.4,394.7,198.4,9.0,4.4,2714.7,31.4,491.5,1980.1,211.8
Sub Himalayan West Bengal & Sikkim,2005-01-01,19.5,21.0,132.1,155.5,254.0,446.5,704.3,564.5,229.9,271.1,8.8,0.5,2807.7,40.6,541.6,1945.1,280.4
